Link,PDF Path,Title,Identifier,Summary,Facts
https://indiankanoon.org/docfragment/185380263/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Chaman_Lal_vs_The_State_Of_Himachal_Pradesh_on_3_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/11383979/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Patel_Engineering_Ltd_vs_North_Eastern_Electric_Power_on_22_May_2020.PDF,,,,
https://indiankanoon.org/docfragment/135823057/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Skoda_Auto_Volkswagen_India_Private_vs_The_State_Of_Uttar_Pradesh_on_26_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/85522577/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Aps_Forex_Services_Pvt_Ltd_vs_Shakti_International_Fashion_Linkers_on_14_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/65382777/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Umc_Technologies_Private_Ltd_vs_Food_Corporation_Of_India_on_16_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/199476996/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_State_Of_Madhya_Pradesh_vs_Yogendra_Singh_Jadon_on_31_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/146545131/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Union_Of_India_vs_Deepak_Niranjan_Nath_Pandit_on_7_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/65806947/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Chairman_Cum_Managing_Director_vs_Sri_Rabindranath_Choubey_on_27_May_2020.PDF,,,,
https://indiankanoon.org/docfragment/154139001/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Mukesh_Singh_vs_State_Narcotic_Branch_Of_Delhi_on_31_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/57060036/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Anwar_Ali_vs_The_State_Of_Himachal_Pradesh_on_25_September_2020.PDF,,,,
https://indiankanoon.org/docfragment/82220204/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Shri_Ram_Sahu_Dead_Through_Lrs_vs_Vinod_Kumar_Rawat_on_3_November_2020.PDF,,,,
